JudgeName,JudgeID
ALFORD,Judge 1
BARBER,Judge 2
BAXLEY,Judge 3
BEATTY,Judge 4
BREEDEN,Judge 5
BROGDON,Judge 6
BROWN,Judge 7
BUCKNER,Judge 8
BURCH,Judge 9
CLARY,Judge 10
COLE,Judge 11
COOPER GT,Judge 12
COOPER TW,Judge 13
COTTINGHAM,Judge 14
DENNIS,Judge 15
FEW,Judge 16
FLOYD H,Judge 17
FLOYD S,Judge 18
GOODE,Judge 19
GOODSTEIN,Judge 20
GREGORY,Judge 21
HALL,Judge 22
HARWELL,Judge 23
HAYES,Judge 24
HUGHSTON,Judge 25
JOHNSON,Judge 26
KEESLEY,Judge 27
KINARD,Judge 28
KING,Judge 29
KITTREDGE,Judge 30
LEE,Judge 31
LOCKEMY,Judge 32
MACAULAY,Judge 33
MANNING,Judge 34
MARTIN,Judge 35
MCKELLAR,Judge 36
MILLING,Judge 37
NEWMAN,Judge 38
NICHOLSON,Judge 39
PATTERSON,Judge 40
PIEPER,Judge 41
PYLE,Judge 42
RAWL,Judge 43
SAUNDERS,Judge 44
SHORT,Judge 45
SMOAK,Judge 46
THOMAS,Judge 47
WATSON,Judge 48
WESTBROOK,Judge 49
WILLIAMS,Judge 50
